Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,org:role,id,variant,variant-index,creator,travel permit number,Permit OrganizationalEntity,RequestedAmount,Permit ID,Amount,Permit ProjectNumber,OriginalAmount,Permit ActivityNumber,DeclarationNumber,Permit RequestedBudget,Permit travel permit number,id,BudgetNumber,Permit BudgetNumber,AdjustedAmount,Permit TaskNumber,Permit id,Automatic Flag
declaration 64486,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,21-09-2018 15:28,Variant 1,1,complete,ADMINISTRATION,st_step 64504_0,Variant 1,1,Fluxicon Disco,travel permit number 64480,organizational unit 65459,27.5204676,travel permit 64479,27.5204676,project 2441,27.5204676,UNKNOWN,declaration number 64487,1261.843832,travel permit number 64480,declaration 64486,budget 147114,budget 2440,27.5204676,task 427,travel permit 64479,Yes
declaration 69979,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,11-07-2018 17:44,Variant 1,1,complete,EMPLOYEE,st_step 69985_0,Variant 1,1,Fluxicon Disco,travel permit number 69978,organizational unit 65456,866.3215758,travel permit 69977,866.3215758,project 12498,866.3215758,UNKNOWN,declaration number 69980,540.1575654,travel permit number 69978,declaration 69979,budget 146688,budget 1969,866.3215758,task 427,travel permit 69977,Yes
declaration 69979,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,11-07-2018 17:45,Variant 1,1,complete,ADMINISTRATION,st_step 69986_0,Variant 1,1,Fluxicon Disco,travel permit number 69978,organizational unit 65456,866.3215758,travel permit 69977,866.3215758,project 12498,866.3215758,UNKNOWN,declaration number 69980,540.1575654,travel permit number 69978,declaration 69979,budget 146688,budget 1969,866.3215758,task 427,travel permit 69977,Yes
declaration 60483,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,29-06-2018 09:46,Variant 1,1,complete,EMPLOYEE,st_step 60488_0,Variant 1,1,Fluxicon Disco,travel permit number 60482,organizational unit 65460,138.3449935,travel permit 60481,138.3449935,project 2309,138.3449935,UNKNOWN,declaration number 60484,251.1789071,travel permit number 60482,declaration 60483,budget 146680,budget 2308,138.3449935,task 427,travel permit 60481,Yes
declaration 60483,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,29-06-2018 09:46,Variant 1,1,complete,ADMINISTRATION,st_step 60490_0,Variant 1,1,Fluxicon Disco,travel permit number 60482,organizational unit 65460,138.3449935,travel permit 60481,138.3449935,project 2309,138.3449935,UNKNOWN,declaration number 60484,251.1789071,travel permit number 60482,declaration 60483,budget 146680,budget 2308,138.3449935,task 427,travel permit 60481,Yes
declaration 19153,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,03-12-2018 16:45,Variant 1,1,complete,EMPLOYEE,st_step 19162_0,Variant 1,1,Fluxicon Disco,travel permit number 19152,organizational unit 65473,84.41538633,travel permit 19151,84.41538633,UNKNOWN,84.41538633,activity 16892,declaration number 19154,0,travel permit number 19152,declaration 19153,budget 147448,budget 3384,84.41538633,UNKNOWN,travel permit 19151,Yes
declaration 19153,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,03-12-2018 16:45,Variant 1,1,complete,ADMINISTRATION,st_step 19161_0,Variant 1,1,Fluxicon Disco,travel permit number 19152,organizational unit 65473,84.41538633,travel permit 19151,84.41538633,UNKNOWN,84.41538633,activity 16892,declaration number 19154,0,travel permit number 19152,declaration 19153,budget 147448,budget 3384,84.41538633,UNKNOWN,travel permit 19151,Yes
declaration 146966,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,26-06-2018 11:09,Variant 1,1,complete,EMPLOYEE,st_step 146973_0,Variant 1,1,Fluxicon Disco,travel permit number 146968,,248.6611663,travel permit 146969,248.6611663,,248.6611663,,declaration number 146967,,,declaration 146966,budget 145163,,248.6611663,,,Yes
declaration 146966,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,26-06-2018 11:09,Variant 1,1,complete,ADMINISTRATION,st_step 146972_0,Variant 1,1,Fluxicon Disco,travel permit number 146968,,248.6611663,travel permit 146969,248.6611663,,248.6611663,,declaration number 146967,,,declaration 146966,budget 145163,,248.6611663,,,Yes
declaration 146974,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,26-06-2018 11:12,Variant 1,1,complete,EMPLOYEE,st_step 146981_0,Variant 1,1,Fluxicon Disco,travel permit number 146976,,485.5930323,travel permit 146977,485.5930323,,485.5930323,,declaration number 146975,,,declaration 146974,budget 143815,,485.5930323,,,Yes
declaration 146974,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,26-06-2018 11:12,Variant 1,1,complete,ADMINISTRATION,st_step 146979_0,Variant 1,1,Fluxicon Disco,travel permit number 146976,,485.5930323,travel permit 146977,485.5930323,,485.5930323,,declaration number 146975,,,declaration 146974,budget 143815,,485.5930323,,,Yes
declaration 146982,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,26-06-2018 11:14,Variant 1,1,complete,EMPLOYEE,st_step 146989_0,Variant 1,1,Fluxicon Disco,travel permit number 146984,,742.4647088,travel permit 146985,742.4647088,,742.4647088,,declaration number 146983,,,declaration 146982,budget 144187,,742.4647088,,,Yes
declaration 146982,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,26-06-2018 11:15,Variant 1,1,complete,ADMINISTRATION,st_step 146988_0,Variant 1,1,Fluxicon Disco,travel permit number 146984,,742.4647088,travel permit 146985,742.4647088,,742.4647088,,declaration number 146983,,,declaration 146982,budget 144187,,742.4647088,,,Yes
declaration 16070,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,13-08-2018 10:53,Variant 1,1,complete,EMPLOYEE,st_step 16078_0,Variant 1,1,Fluxicon Disco,travel permit number 16068,organizational unit 65459,1682.555842,travel permit 16067,1682.555842,project 16069,1682.555842,UNKNOWN,declaration number 16071,980.4851189,travel permit number 16068,declaration 16070,budget 146710,budget 1922,1682.555842,task 427,travel permit 16067,Yes
declaration 16070,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,13-08-2018 10:54,Variant 1,1,complete,ADMINISTRATION,st_step 16079_0,Variant 1,1,Fluxicon Disco,travel permit number 16068,organizational unit 65459,1682.555842,travel permit 16067,1682.555842,project 16069,1682.555842,UNKNOWN,declaration number 16071,980.4851189,travel permit number 16068,declaration 16070,budget 146710,budget 1922,1682.555842,task 427,travel permit 16067,Yes
declaration 20678,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,16-07-2018 15:06,Variant 1,1,complete,EMPLOYEE,st_step 20683_0,Variant 1,1,Fluxicon Disco,travel permit number 20677,organizational unit 65457,541.1323081,travel permit 20676,541.1323081,project 20563,541.1323081,UNKNOWN,declaration number 20679,365.0412459,travel permit number 20677,declaration 20678,budget 146683,budget 4444,541.1323081,task 427,travel permit 20676,Yes
declaration 20678,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,16-07-2018 15:06,Variant 1,1,complete,ADMINISTRATION,st_step 20685_0,Variant 1,1,Fluxicon Disco,travel permit number 20677,organizational unit 65457,541.1323081,travel permit 20676,541.1323081,project 20563,541.1323081,UNKNOWN,declaration number 20679,365.0412459,travel permit number 20677,declaration 20678,budget 146683,budget 4444,541.1323081,task 427,travel permit 20676,Yes
declaration 53016,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,01-09-2018 13:29,Variant 1,1,complete,EMPLOYEE,st_step 53023_0,Variant 1,1,Fluxicon Disco,travel permit number 53015,organizational unit 65454,1905.299258,travel permit 53014,1905.299258,UNKNOWN,1905.299258,UNKNOWN,declaration number 53017,1326.384393,travel permit number 53015,declaration 53016,budget 146674,budget 592,1905.299258,UNKNOWN,travel permit 53014,Yes
declaration 53016,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,01-09-2018 13:30,Variant 1,1,complete,ADMINISTRATION,st_step 53022_0,Variant 1,1,Fluxicon Disco,travel permit number 53015,organizational unit 65454,1905.299258,travel permit 53014,1905.299258,UNKNOWN,1905.299258,UNKNOWN,declaration number 53017,1326.384393,travel permit number 53015,declaration 53016,budget 146674,budget 592,1905.299258,UNKNOWN,travel permit 53014,Yes
declaration 30085,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,20-11-2018 16:28,Variant 1,1,complete,EMPLOYEE,st_step 30098_0,Variant 1,1,Fluxicon Disco,travel permit number 30082,organizational unit 65454,328.0940036,travel permit 30081,328.0940036,UNKNOWN,328.0940036,UNKNOWN,declaration number 30086,517.3106058,travel permit number 30082,declaration 30085,budget 147110,budget 592,328.0940036,UNKNOWN,travel permit 30081,Yes
declaration 30085,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,20-11-2018 16:28,Variant 1,1,complete,ADMINISTRATION,st_step 30097_0,Variant 1,1,Fluxicon Disco,travel permit number 30082,organizational unit 65454,328.0940036,travel permit 30081,328.0940036,UNKNOWN,328.0940036,UNKNOWN,declaration number 30086,517.3106058,travel permit number 30082,declaration 30085,budget 147110,budget 592,328.0940036,UNKNOWN,travel permit 30081,Yes
declaration 60583,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,13-09-2018 17:20,Variant 1,1,complete,EMPLOYEE,st_step 60591_0,Variant 1,1,Fluxicon Disco,travel permit number 60580,organizational unit 65466,425.1722236,travel permit 60579,425.1722236,UNKNOWN,425.1722236,activity 60582,declaration number 60584,1017.568198,travel permit number 60580,declaration 60583,budget 146751,budget 60581,425.1722236,UNKNOWN,travel permit 60579,Yes
declaration 60583,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,13-09-2018 17:20,Variant 1,1,complete,ADMINISTRATION,st_step 60592_0,Variant 1,1,Fluxicon Disco,travel permit number 60580,organizational unit 65466,425.1722236,travel permit 60579,425.1722236,UNKNOWN,425.1722236,activity 60582,declaration number 60584,1017.568198,travel permit number 60580,declaration 60583,budget 146751,budget 60581,425.1722236,UNKNOWN,travel permit 60579,Yes
declaration 60619,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,08-11-2018 09:43,Variant 1,1,complete,EMPLOYEE,st_step 60626_0,Variant 1,1,Fluxicon Disco,travel permit number 60618,organizational unit 65459,2529.534758,travel permit 60617,2529.534758,project 2441,2529.534758,UNKNOWN,declaration number 60620,3150.233246,travel permit number 60618,declaration 60619,budget 147390,budget 2440,2529.534758,task 427,travel permit 60617,Yes
declaration 60619,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,08-11-2018 09:43,Variant 1,1,complete,ADMINISTRATION,st_step 60625_0,Variant 1,1,Fluxicon Disco,travel permit number 60618,organizational unit 65459,2529.534758,travel permit 60617,2529.534758,project 2441,2529.534758,UNKNOWN,declaration number 60620,3150.233246,travel permit number 60618,declaration 60619,budget 147390,budget 2440,2529.534758,task 427,travel permit 60617,Yes
declaration 65497,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,08-08-2018 13:45,Variant 1,1,complete,EMPLOYEE,st_step 65504_0,Variant 1,1,Fluxicon Disco,travel permit number 65496,organizational unit 65456,154.2647557,travel permit 65495,154.2647557,UNKNOWN,154.2647557,UNKNOWN,declaration number 65498,222.9219564,travel permit number 65496,declaration 65497,budget 146681,budget 829,154.2647557,UNKNOWN,travel permit 65495,Yes
declaration 65497,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,08-08-2018 13:46,Variant 1,1,complete,ADMINISTRATION,st_step 65503_0,Variant 1,1,Fluxicon Disco,travel permit number 65496,organizational unit 65456,154.2647557,travel permit 65495,154.2647557,UNKNOWN,154.2647557,UNKNOWN,declaration number 65498,222.9219564,travel permit number 65496,declaration 65497,budget 146681,budget 829,154.2647557,UNKNOWN,travel permit 65495,Yes
declaration 53704,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,12-09-2018 15:16,Variant 1,1,complete,EMPLOYEE,st_step 53716_0,Variant 1,1,Fluxicon Disco,travel permit number 53700,organizational unit 65460,368.0529048,travel permit 53699,368.0529048,project 6649,368.0529048,UNKNOWN,declaration number 53705,394.028625,travel permit number 53700,declaration 53704,budget 146816,budget 499,368.0529048,task 427,travel permit 53699,Yes
declaration 53704,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,12-09-2018 15:16,Variant 1,1,complete,ADMINISTRATION,st_step 53715_0,Variant 1,1,Fluxicon Disco,travel permit number 53700,organizational unit 65460,368.0529048,travel permit 53699,368.0529048,project 6649,368.0529048,UNKNOWN,declaration number 53705,394.028625,travel permit number 53700,declaration 53704,budget 146816,budget 499,368.0529048,task 427,travel permit 53699,Yes
declaration 53703,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,09-07-2018 11:42,Variant 2,2,complete,EMPLOYEE,st_step 53713_0,Variant 3,3,Fluxicon Disco,travel permit number 53700,organizational unit 65460,0,travel permit 53699,0,project 6649,0,UNKNOWN,UNKNOWN,394.028625,travel permit number 53700,declaration 53703,budget 146816,budget 499,0,task 427,travel permit 53699,Yes
declaration 53703,Declaration REJECTED by ADMINISTRATION,STAFF MEMBER,09-07-2018 11:42,Variant 2,2,complete,ADMINISTRATION,st_step 53712_0,Variant 3,3,Fluxicon Disco,travel permit number 53700,organizational unit 65460,0,travel permit 53699,0,project 6649,0,UNKNOWN,UNKNOWN,394.028625,travel permit number 53700,declaration 53703,budget 146816,budget 499,0,task 427,travel permit 53699,Yes
declaration 30139,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,09-08-2018 13:18,Variant 1,1,complete,EMPLOYEE,st_step 30149_0,Variant 1,1,Fluxicon Disco,travel permit number 30136,organizational unit 65454,457.4926933,travel permit 30135,457.4926933,UNKNOWN,457.4926933,UNKNOWN,declaration number 30140,2201.732288,travel permit number 30136,declaration 30139,budget 146710,budget 3042,457.4926933,UNKNOWN,travel permit 30135,Yes
declaration 30139,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,09-08-2018 13:18,Variant 1,1,complete,ADMINISTRATION,st_step 30148_0,Variant 1,1,Fluxicon Disco,travel permit number 30136,organizational unit 65454,457.4926933,travel permit 30135,457.4926933,UNKNOWN,457.4926933,UNKNOWN,declaration number 30140,2201.732288,travel permit number 30136,declaration 30139,budget 146710,budget 3042,457.4926933,UNKNOWN,travel permit 30135,Yes
declaration 54307,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,27-07-2018 11:44,Variant 1,1,complete,EMPLOYEE,st_step 54317_0,Variant 1,1,Fluxicon Disco,travel permit number 54304,organizational unit 65455,1198.984157,travel permit 54303,1198.984157,UNKNOWN,1198.984157,UNKNOWN,declaration number 54308,2008.929728,travel permit number 54304,declaration 54307,budget 146676,budget 6198,1198.984157,UNKNOWN,travel permit 54303,Yes
declaration 54307,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,27-07-2018 11:45,Variant 1,1,complete,ADMINISTRATION,st_step 54316_0,Variant 1,1,Fluxicon Disco,travel permit number 54304,organizational unit 65455,1198.984157,travel permit 54303,1198.984157,UNKNOWN,1198.984157,UNKNOWN,declaration number 54308,2008.929728,travel permit number 54304,declaration 54307,budget 146676,budget 6198,1198.984157,UNKNOWN,travel permit 54303,Yes
declaration 54305,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,27-07-2018 11:57,Variant 1,1,complete,EMPLOYEE,st_step 54314_0,Variant 1,1,Fluxicon Disco,travel permit number 54304,organizational unit 65455,383.587253,travel permit 54303,383.587253,UNKNOWN,383.587253,UNKNOWN,declaration number 54306,2008.929728,travel permit number 54304,declaration 54305,budget 146676,budget 6198,383.587253,UNKNOWN,travel permit 54303,Yes
declaration 54305,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,27-07-2018 11:57,Variant 1,1,complete,ADMINISTRATION,st_step 54313_0,Variant 1,1,Fluxicon Disco,travel permit number 54304,organizational unit 65455,383.587253,travel permit 54303,383.587253,UNKNOWN,383.587253,UNKNOWN,declaration number 54306,2008.929728,travel permit number 54304,declaration 54305,budget 146676,budget 6198,383.587253,UNKNOWN,travel permit 54303,Yes
declaration 11597,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,20-07-2018 14:45,Variant 2,2,complete,EMPLOYEE,st_step 11610_0,Variant 3,3,Fluxicon Disco,travel permit number 11593,organizational unit 65456,0,travel permit 11592,0,project 11594,0,UNKNOWN,UNKNOWN,1095.246791,travel permit number 11593,declaration 11597,budget 146688,budget 722,0,task 427,travel permit 11592,Yes
declaration 11597,Declaration REJECTED by ADMINISTRATION,STAFF MEMBER,20-07-2018 14:45,Variant 2,2,complete,ADMINISTRATION,st_step 11609_0,Variant 3,3,Fluxicon Disco,travel permit number 11593,organizational unit 65456,0,travel permit 11592,0,project 11594,0,UNKNOWN,UNKNOWN,1095.246791,travel permit number 11593,declaration 11597,budget 146688,budget 722,0,task 427,travel permit 11592,Yes
declaration 67004,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,24-07-2018 10:29,Variant 2,2,complete,EMPLOYEE,st_step 67011_0,Variant 3,3,Fluxicon Disco,travel permit number 67001,organizational unit 65456,0,travel permit 67000,0,project 723,0,UNKNOWN,UNKNOWN,763.1908176,travel permit number 67001,declaration 67004,budget 146666,budget 722,0,task 427,travel permit 67000,Yes
declaration 67004,Declaration REJECTED by ADMINISTRATION,STAFF MEMBER,24-07-2018 10:29,Variant 2,2,complete,ADMINISTRATION,st_step 67013_0,Variant 3,3,Fluxicon Disco,travel permit number 67001,organizational unit 65456,0,travel permit 67000,0,project 723,0,UNKNOWN,UNKNOWN,763.1908176,travel permit number 67001,declaration 67004,budget 146666,budget 722,0,task 427,travel permit 67000,Yes
declaration 56941,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,09-08-2018 10:27,Variant 1,1,complete,EMPLOYEE,st_step 56948_0,Variant 1,1,Fluxicon Disco,travel permit number 56940,organizational unit 65460,755.1687872,travel permit 56939,755.1687872,project 1115,755.1687872,UNKNOWN,declaration number 56942,578.9475751,travel permit number 56940,declaration 56941,budget 146666,budget 1114,755.1687872,task 427,travel permit 56939,Yes
declaration 56941,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,09-08-2018 10:27,Variant 1,1,complete,ADMINISTRATION,st_step 56946_0,Variant 1,1,Fluxicon Disco,travel permit number 56940,organizational unit 65460,755.1687872,travel permit 56939,755.1687872,project 1115,755.1687872,UNKNOWN,declaration number 56942,578.9475751,travel permit number 56940,declaration 56941,budget 146666,budget 1114,755.1687872,task 427,travel permit 56939,Yes
declaration 67002,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,26-07-2018 10:40,Variant 1,1,complete,EMPLOYEE,st_step 67008_0,Variant 1,1,Fluxicon Disco,travel permit number 67001,organizational unit 65456,1182.601288,travel permit 67000,1182.601288,project 723,1182.601288,UNKNOWN,declaration number 67003,763.1908176,travel permit number 67001,declaration 67002,budget 146666,budget 722,1182.601288,task 427,travel permit 67000,Yes
declaration 67002,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,26-07-2018 10:41,Variant 1,1,complete,ADMINISTRATION,st_step 67009_0,Variant 1,1,Fluxicon Disco,travel permit number 67001,organizational unit 65456,1182.601288,travel permit 67000,1182.601288,project 723,1182.601288,UNKNOWN,declaration number 67003,763.1908176,travel permit number 67001,declaration 67002,budget 146666,budget 722,1182.601288,task 427,travel permit 67000,Yes
declaration 20702,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,17-09-2018 12:49,Variant 1,1,complete,EMPLOYEE,st_step 20714_0,Variant 1,1,Fluxicon Disco,travel permit number 20697,organizational unit 65461,1984.543463,travel permit 20696,1984.543463,project 20698,1984.543463,UNKNOWN,declaration number 20703,1076.868424,travel permit number 20697,declaration 20702,budget 147065,budget 9006,1984.543463,task 427,travel permit 20696,Yes
declaration 20702,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,17-09-2018 12:49,Variant 1,1,complete,ADMINISTRATION,st_step 20713_0,Variant 1,1,Fluxicon Disco,travel permit number 20697,organizational unit 65461,1984.543463,travel permit 20696,1984.543463,project 20698,1984.543463,UNKNOWN,declaration number 20703,1076.868424,travel permit number 20697,declaration 20702,budget 147065,budget 9006,1984.543463,task 427,travel permit 20696,Yes
declaration 66343,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,13-07-2018 17:49,Variant 1,1,complete,EMPLOYEE,st_step 66352_0,Variant 1,1,Fluxicon Disco,travel permit number 66342,organizational unit 65454,708.8896273,travel permit 66341,708.8896273,project 426,708.8896273,UNKNOWN,declaration number 66344,596.5606431,travel permit number 66342,declaration 66343,budget 146679,budget 425,708.8896273,task 427,travel permit 66341,Yes
declaration 66343,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,13-07-2018 17:50,Variant 1,1,complete,ADMINISTRATION,st_step 66351_0,Variant 1,1,Fluxicon Disco,travel permit number 66342,organizational unit 65454,708.8896273,travel permit 66341,708.8896273,project 426,708.8896273,UNKNOWN,declaration number 66344,596.5606431,travel permit number 66342,declaration 66343,budget 146679,budget 425,708.8896273,task 427,travel permit 66341,Yes
declaration 61408,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,21-08-2018 11:30,Variant 1,1,complete,EMPLOYEE,st_step 61413_0,Variant 1,1,Fluxicon Disco,travel permit number 61407,organizational unit 65455,868.9808434,travel permit 61406,868.9808434,project 441,868.9808434,UNKNOWN,declaration number 61409,2654.892906,travel permit number 61407,declaration 61408,budget 146684,budget 440,868.9808434,task 427,travel permit 61406,Yes
declaration 61408,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,21-08-2018 11:31,Variant 1,1,complete,ADMINISTRATION,st_step 61414_0,Variant 1,1,Fluxicon Disco,travel permit number 61407,organizational unit 65455,868.9808434,travel permit 61406,868.9808434,project 441,868.9808434,UNKNOWN,declaration number 61409,2654.892906,travel permit number 61407,declaration 61408,budget 146684,budget 440,868.9808434,task 427,travel permit 61406,Yes
declaration 65519,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-08-2018 13:58,Variant 1,1,complete,EMPLOYEE,st_step 65526_0,Variant 1,1,Fluxicon Disco,travel permit number 65518,organizational unit 65458,514.6529237,travel permit 65517,514.6529237,UNKNOWN,514.6529237,UNKNOWN,declaration number 65520,230.2416381,travel permit number 65518,declaration 65519,budget 146711,budget 2351,514.6529237,UNKNOWN,travel permit 65517,Yes
declaration 65519,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-08-2018 13:59,Variant 1,1,complete,ADMINISTRATION,st_step 65525_0,Variant 1,1,Fluxicon Disco,travel permit number 65518,organizational unit 65458,514.6529237,travel permit 65517,514.6529237,UNKNOWN,514.6529237,UNKNOWN,declaration number 65520,230.2416381,travel permit number 65518,declaration 65519,budget 146711,budget 2351,514.6529237,UNKNOWN,travel permit 65517,Yes
declaration 54344,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,06-12-2018 03:33,Variant 1,1,complete,EMPLOYEE,st_step 54361_0,Variant 1,1,Fluxicon Disco,travel permit number 54339,organizational unit 65460,2757.446343,travel permit 54338,2757.446343,project 1052,2757.446343,UNKNOWN,declaration number 54345,10061.72266,travel permit number 54339,declaration 54344,budget 146845,budget 994,2757.446343,task 427,travel permit 54338,Yes
declaration 54344,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,06-12-2018 03:34,Variant 1,1,complete,ADMINISTRATION,st_step 54362_0,Variant 1,1,Fluxicon Disco,travel permit number 54339,organizational unit 65460,2757.446343,travel permit 54338,2757.446343,project 1052,2757.446343,UNKNOWN,declaration number 54345,10061.72266,travel permit number 54339,declaration 54344,budget 146845,budget 994,2757.446343,task 427,travel permit 54338,Yes
declaration 61450,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,18-09-2018 14:56,Variant 1,1,complete,EMPLOYEE,st_step 61455_0,Variant 1,1,Fluxicon Disco,travel permit number 61449,organizational unit 65457,1234.579393,travel permit 61448,1234.579393,project 32681,1234.579393,UNKNOWN,declaration number 61451,1369.816831,travel permit number 61449,declaration 61450,budget 146714,budget 1956,1234.579393,task 427,travel permit 61448,Yes
declaration 61450,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,18-09-2018 14:57,Variant 1,1,complete,ADMINISTRATION,st_step 61456_0,Variant 1,1,Fluxicon Disco,travel permit number 61449,organizational unit 65457,1234.579393,travel permit 61448,1234.579393,project 32681,1234.579393,UNKNOWN,declaration number 61451,1369.816831,travel permit number 61449,declaration 61450,budget 146714,budget 1956,1234.579393,task 427,travel permit 61448,Yes
declaration 55465,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,23-08-2018 17:00,Variant 1,1,complete,EMPLOYEE,st_step 55477_0,Variant 1,1,Fluxicon Disco,travel permit number 55460,organizational unit 65458,551.0610288,travel permit 55459,551.0610288,project 8993,551.0610288,UNKNOWN,declaration number 55466,644.5158231,travel permit number 55460,declaration 55465,budget 146752,budget 698,551.0610288,task 427,travel permit 55459,Yes
declaration 55465,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,23-08-2018 17:00,Variant 1,1,complete,ADMINISTRATION,st_step 55478_0,Variant 1,1,Fluxicon Disco,travel permit number 55460,organizational unit 65458,551.0610288,travel permit 55459,551.0610288,project 8993,551.0610288,UNKNOWN,declaration number 55466,644.5158231,travel permit number 55460,declaration 55465,budget 146752,budget 698,551.0610288,task 427,travel permit 55459,Yes
declaration 66155,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,12-07-2018 09:04,Variant 1,1,complete,EMPLOYEE,st_step 66163_0,Variant 1,1,Fluxicon Disco,travel permit number 66154,organizational unit 65461,209.3584093,travel permit 66153,209.3584093,UNKNOWN,209.3584093,activity 8180,declaration number 66156,296.9582572,travel permit number 66154,declaration 66155,budget 146729,budget 425,209.3584093,UNKNOWN,travel permit 66153,Yes
declaration 66155,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,12-07-2018 09:04,Variant 1,1,complete,ADMINISTRATION,st_step 66162_0,Variant 1,1,Fluxicon Disco,travel permit number 66154,organizational unit 65461,209.3584093,travel permit 66153,209.3584093,UNKNOWN,209.3584093,activity 8180,declaration number 66156,296.9582572,travel permit number 66154,declaration 66155,budget 146729,budget 425,209.3584093,UNKNOWN,travel permit 66153,Yes
declaration 66175,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,06-08-2018 10:48,Variant 1,1,complete,EMPLOYEE,st_step 66194_0,Variant 1,1,Fluxicon Disco,travel permit number 66166,organizational unit 65459,352.3552396,travel permit 66165,352.3552396,project 66167,352.3552396,UNKNOWN,declaration number 66176,867.5895044,travel permit number 66166,declaration 66175,budget 146677,budget 1922,352.3552396,task 427,travel permit 66165,Yes
declaration 66175,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,06-08-2018 10:48,Variant 1,1,complete,ADMINISTRATION,st_step 66195_0,Variant 1,1,Fluxicon Disco,travel permit number 66166,organizational unit 65459,352.3552396,travel permit 66165,352.3552396,project 66167,352.3552396,UNKNOWN,declaration number 66176,867.5895044,travel permit number 66166,declaration 66175,budget 146677,budget 1922,352.3552396,task 427,travel permit 66165,Yes
declaration 66199,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,06-12-2018 11:59,Variant 1,1,complete,EMPLOYEE,st_step 66206_0,Variant 1,1,Fluxicon Disco,travel permit number 66198,organizational unit 65469,539.4844762,travel permit 66197,539.4844762,UNKNOWN,539.4844762,UNKNOWN,declaration number 66200,662.3320678,travel permit number 66198,declaration 66199,budget 147382,budget 3712,539.4844762,UNKNOWN,travel permit 66197,Yes
